I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
728.202026,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.206970,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.211975,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.216980,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.221985,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.226990,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.231995,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.237000,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.242004,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.247009,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.252014,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.257019,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.262024,69.320000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.267029,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.271973,69.320000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.276978,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.281982,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.286987,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.291992,69.320000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.296997,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.302002,69.320000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.307007,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.312012,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.317017,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.322021,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.327026,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.331970,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
